Institution Name,Department,Program Name,College,City Location of Institution (HD2018),State Abbreviation (HD2018),Institution's Internet Website Address (HD2018),Longitude Location of Institution (HD2018),Latitude Location of Institution (HD2018),Institution Size Category (HD2018),Total price for in-state students living on campus 2018-19 (DRVIC2018)
University of California-Berkeley,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Chemistry, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Environmental Economics and Policy, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Conservation and Resource Studies, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Ecosystem Management and Forestry, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Environmental Economics and Policy, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Environmental Sciences, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Genetics and Plant Biology, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Microbial Biology, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Molecular Environmental Biology, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Nutritional Science, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES","Society and Environment, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"AGRICULTURE, NATURAL RESOURCES AND ENVIRONMENTAL STUDIES",Undeclared/College of Natural Resources,College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ARCHITECTURAL AND ENVIRONMENTAL DESIGN AND PLANNING,"Architecture, B.A.",College of Environmental Design,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ARCHITECTURAL AND ENVIRONMENTAL DESIGN AND PLANNING,"Landscape Architecture, B.A",College of Environmental Design,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ARCHITECTURAL AND ENVIRONMENTAL DESIGN AND PLANNING,"Sustainable Environmental Design, B.A.",College of Environmental Design,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ARCHITECTURAL AND ENVIRONMENTAL DESIGN AND PLANNING,"Urban Studies, B.A.",College of Environmental Design,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"ART—APPLIED, FINE, PERFORMING AND ART HISTORY","Art, History of, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"ART—APPLIED, FINE, PERFORMING AND ART HISTORY","Art, Practice of, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"ART—APPLIED, FINE, PERFORMING AND ART HISTORY","Dance and Performance Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"ART—APPLIED, FINE, PERFORMING AND ART HISTORY","Dutch Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"ART—APPLIED, FINE, PERFORMING AND ART HISTORY","Film Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"ART—APPLIED, FINE, PERFORMING AND ART HISTORY","Music, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"ART—APPLIED, FINE, PERFORMING AND ART HISTORY","Theater and Performance Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,"ART—APPLIED, FINE, PERFORMING AND ART HISTORY",Undeclared/Intending Arts and Humanities,College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BIOLOGICAL AND LIFE SCIENCES,"Chemical Biology, B.S.",College of Chemistry,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BIOLOGICAL AND LIFE SCIENCES,"Biology + Business, B.S. ",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BIOLOGICAL AND LIFE SCIENCES,"Chemistry, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BIOLOGICAL AND LIFE SCIENCES,"Integrative Biology, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BIOLOGICAL AND LIFE SCIENCES,"Molecular and Cell Biology, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BIOLOGICAL AND LIFE SCIENCES,Undeclared/Intending Biological Sciences,College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BIOLOGICAL AND LIFE SCIENCES,"Genetics and Plant Biology, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BIOLOGICAL AND LIFE SCIENCES,"Microbial Biology, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BIOLOGICAL AND LIFE SCIENCES,"Molecular Environmental Biology, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BIOLOGICAL AND LIFE SCIENCES,"Nutritional Science, B.S.",College of Natural Resources,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BUSINESS AND MANAGEMENT,"Business Administration, B.S.",Haas School of Business,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BUSINESS AND MANAGEMENT,"Global Management Program, B.S. ",Haas School of Business,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BUSINESS AND MANAGEMENT,"Management, Entrepreneurship, and Technology (M.E.T.), B.S.",Haas School of Business,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BUSINESS AND MANAGEMENT,"Bioengineering | Business Administration, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BUSINESS AND MANAGEMENT,"Civil Engineering | Business Administration, B.S. ",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BUSINESS AND MANAGEMENT,"Electrical Engineering and Computer Sciences | Business Administration, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BUSINESS AND MANAGEMENT,"Industrial Engineering and Operations Research | Business Administration, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BUSINESS AND MANAGEMENT,"Mechanical Engineering | Business Administration, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BUSINESS AND MANAGEMENT,"Economics, B.S.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BUSINESS AND MANAGEMENT,"Global Management Program, B.S.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,BUSINESS AND MANAGEMENT,Undeclared/Intending Business Administration,College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,COMMUNICATION,"Media Studies, B.A.",College of Letters and Science,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Management, Entrepreneurship, and Technology (M.E.T.), B.S.",Haas School of Business,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Chemical Engineering, B.S.",College of Chemistry,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Bioengineering, B.S.",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
University of California-Berkeley,ENGINEERING AND COMPUTER SCIENCE,"Bioengineering & Business Administration, B.S. ",College of Engineering,Berkeley,CA,www.berkeley.edu,-122.260463,37.871918,5,38066
